"","symbol","Alpha","performance","LMT_std","mean","period","interest_mean_2020","unemp_mean","sector"
"130","D",-0.003,0,"6.28","-0.02","2020",0.5,8.6,"Utilities"
"131","DOV",-0.0091,0,"9.21","-0.3","2020",0.5,8.6,"Industrials"
"132","DTE",-0.0116,0,"8.82","-0.61","2020",0.5,8.6,"Utilities"
"133","DUK",-0.007,0,"6.72","-0.45","2020",0.5,8.6,"Utilities"
"134","DRE",0.0098,1,"6.98","1.24","2020",0.5,8.6,"Real Estate"
"135","DXC",-0.0599,0,"25.44","-4.48","2020",0.5,8.6,"Technology"
"136","EMN",0.0033,0,"15.63","1.23","2020",0.5,8.6,"Industrials"
"137","ETN",0.0056,0,"7.19","1.01","2020",0.5,8.6,"Industrials"
"138","EBAY",0.0442,1,"13.95","5.14","2020",0.5,8.6,"Consumer Discretionary"
"139","ECL",0.0043,0,"11.34","1.04","2020",0.5,8.6,"Consumer Discretionary"
"140","EIX",-0.0385,0,"7.93","-3.42","2020",0.5,8.6,"Utilities"
"141","EW",-3e-04,0,"9.93","0.54","2020",0.5,8.6,"Health Care"
"142","EA",0.02,1,"7.06","2.37","2020",0.5,8.6,"Consumer Discretionary"
"143","EMR",-0.0168,0,"13.54","-0.8","2020",0.5,8.6,"Industrials"
"144","ETR",-0.0193,0,"10.67","-1.48","2020",0.5,8.6,"Utilities"
"145","EOG",-0.0789,0,"20.78","-6.62","2020",0.5,8.6,"Energy"
"146","EQT",0.0698,1,"41.77","8.4","2020",0.5,8.6,"Energy"
"147","EFX",0.0116,1,"10.5","1.73","2020",0.5,8.6,"Finance"
"148","EQIX",0.0326,1,"5.26","3.36","2020",0.5,8.6,"Real Estate"
"149","EQR",-0.046,0,"7.88","-4.21","2020",0.5,8.6,"Real Estate"
"150","ESS",-0.042,0,"8.91","-3.68","2020",0.5,8.6,"Real Estate"
"151","EL",0.0032,0,"9.31","0.89","2020",0.5,8.6,"Consumer Discretionary"
"152","RE",-0.0325,0,"11.07","-2.81","2020",0.5,8.6,"Finance"
"153","ES",0.0014,0,"6.8","0.4","2020",0.5,8.6,"Utilities"
"154","EXC",-0.0256,0,"6.95","-2.23","2020",0.5,8.6,"Utilities"
"155","EXPE",-0.0119,0,"20.14","0.08","2020",0.5,8.6,"Consumer Discretionary"
"156","EXPD",0.0169,1,"6.3","2.01","2020",0.5,8.6,"Consumer Discretionary"
"157","EXR",0.0067,0,"7.48","0.81","2020",0.5,8.6,"Real Estate"
"158","XOM",-0.0723,0,"13.6","-6.38","2020",0.5,8.6,"Energy"
"159","FFIV",-0.0135,0,"12.83","-0.74","2020",0.5,8.6,"Technology"
"160","FB",0.0235,1,"12.43","3.15","2020",0.5,8.6,NA
"161","FAST",0.0225,1,"9.37","2.81","2020",0.5,8.6,"Basic Materials"
"162","FRT",-0.0518,0,"13.66","-4.46","2020",0.5,8.6,"Real Estate"
"163","FDX",0.0601,1,"13.81","6.55","2020",0.5,8.6,"Consumer Discretionary"
"164","FIS",0.0058,0,"6.8","0.98","2020",0.5,8.6,"Consumer Discretionary"
"165","FITB",-0.0347,0,"17.28","-2.4","2020",0.5,8.6,"Finance"
"166","FE",-0.0481,0,"10.07","-4.66","2020",0.5,8.6,"Utilities"
"167","FISV",-0.0132,0,"7.18","-0.97","2020",0.5,8.6,"Consumer Discretionary"
"168","FLS",-0.0608,0,"16.68","-5.07","2020",0.5,8.6,"Industrials"
"169","FLR",-0.0524,0,"31.54","-3.61","2020",0.5,8.6,"Industrials"
"170","FMC",0.0054,0,"7.13","0.98","2020",0.5,8.6,"Industrials"
"171","FL",-0.0103,0,"15.93","-0.16","2020",0.5,8.6,"Consumer Discretionary"
"172","F",-0.035,0,"14.39","-2.64","2020",0.5,8.6,"Consumer Discretionary"
"173","FTV",-0.002,0,"10.76","0.38","2020",0.5,8.6,"Industrials"
"174","FBHS",0.0341,1,"16.64","4.35","2020",0.5,8.6,NA
"175","BEN",-0.0232,0,"10.99","-1.66","2020",0.5,8.6,"Finance"
"176","FCX",0.0249,1,"21.07","3.74","2020",0.5,8.6,"Basic Materials"
"177","GPS",0.0216,1,"26.97","3.6","2020",0.5,8.6,"Consumer Discretionary"
"178","GRMN",-0.0033,0,"9","0.21","2020",0.5,8.6,"Industrials"
"179","IT",-0.0247,0,"12.82","-1.64","2020",0.5,8.6,"Finance"
"180","GD",-0.0265,0,"8.26","-2.23","2020",0.5,8.6,"Industrials"
"181","GE",-0.0682,0,"10.66","-6.54","2020",0.5,8.6,"Consumer Discretionary"
"182","GIS",0.0181,1,"6.68","2.03","2020",0.5,8.6,"Consumer Staples"
"183","GM",-0.0248,0,"15.08","-1.65","2020",0.5,8.6,"Consumer Discretionary"
"184","GPC",-0.0101,0,"11.59","-0.31","2020",0.5,8.6,"Consumer Discretionary"
"185","GILD",0.0019,0,"8.16","0.06","2020",0.5,8.6,"Health Care"
"186","GPN",-0.0054,0,"10.45","0.05","2020",0.5,8.6,"Consumer Discretionary"
"187","GS",-0.0182,0,"12.19","-1.02","2020",0.5,8.6,"Finance"
"188","GT",-0.0647,0,"21.16","-5.12","2020",0.5,8.6,"Consumer Discretionary"
"189","GWW",0.0025,0,"9.67","0.81","2020",0.5,8.6,"Consumer Discretionary"
"190","HAL",-0.042,0,"31.82","-2.1","2020",0.5,8.6,"Energy"
"191","HBI",0.0198,1,"20.06","3.15","2020",0.5,8.6,"Consumer Discretionary"
"192","HOG",-0.0434,0,"16.46","-3.33","2020",0.5,8.6,"Consumer Discretionary"
"193","HIG",-0.0529,0,"12.18","-4.54","2020",0.5,8.6,"Finance"
"194","HAS",-0.0254,0,"9.35","-2.13","2020",0.5,8.6,"Consumer Discretionary"
"195","HCA",-0.0179,0,"18.21","-0.75","2020",0.5,8.6,"Health Care"
"196","HP",-0.0928,0,"22.05","-8.04","2020",0.5,8.6,"Energy"
"197","HSIC",-0.0152,0,"11.72","-0.89","2020",0.5,8.6,"Health Care"
"198","HES",-0.0415,0,"22.99","-2.96","2020",0.5,8.6,"Energy"
"199","HPE",-0.0561,0,"8.64","-5.14","2020",0.5,8.6,"Telecommunications"
"200","HLT",-0.0263,0,"14.14","-1.78","2020",0.5,8.6,"Consumer Discretionary"
"201","HOLX",0.0344,1,"20.51","4.46","2020",0.5,8.6,"Health Care"
"202","HD",0.0239,1,"9.58","3.01","2020",0.5,8.6,"Consumer Discretionary"
"203","HON",-0.0102,0,"8.28","-0.52","2020",0.5,8.6,"Industrials"
"204","HRL",0.0138,1,"7.1","1.41","2020",0.5,8.6,"Consumer Staples"
"205","HST",-0.0569,0,"9.86","-5.07","2020",0.5,8.6,"Real Estate"
"206","HPQ",-0.0051,0,"9.84","-0.3","2020",0.5,8.6,"Technology"
"207","HUM",0.0107,1,"9.07","1.52","2020",0.5,8.6,"Health Care"
"208","HBAN",-0.0488,0,"12.45","-4.14","2020",0.5,8.6,"Finance"
"209","HII",-0.0619,0,"9.16","-5.82","2020",0.5,8.6,"Industrials"
"210","IDXX",0.0412,1,"9.27","4.6","2020",0.5,8.6,"Health Care"
"211","ITW",0.0069,1,"8.37","1.24","2020",0.5,8.6,"Industrials"
"212","ILMN",-0.0063,0,"10.87","-0.23","2020",0.5,8.6,"Health Care"
"213","INCY",0.0043,0,"13.64","0.93","2020",0.5,8.6,"Health Care"
"214","IR",-0.0033,0,"12.48","0.42","2020",0.5,8.6,"Industrials"
"215","INTC",-0.0147,0,"10.11","-1.23","2020",0.5,8.6,"Technology"
"216","ICE",0.007,1,"8.88","1.22","2020",0.5,8.6,"Finance"
"217","IBM",-0.0103,0,"8.07","-0.55","2020",0.5,8.6,"Technology"
