"","symbol","Alpha","performance","LMT_std","mean","period","interest_mean","unemp_mean","sector"
"1","MMM",-0.007,0,"6.61","-1.71","2001",4.4,4.5,"Industrials"
"2","ABT",0.0093,0,"7.81","1.33","2001",4.4,4.5,"Health Care"
"3","ADM",-0.0051,0,"7.68","-0.7","2001",4.4,4.5,"Consumer Staples"
"4","ADBE",-0.0088,0,"21.08","-4.32","2001",4.4,4.5,"Technology"
"5","ADP",-0.0221,0,"4.06","-2.62","2001",4.4,4.5,"Consumer Discretionary"
"6","AES",-0.0748,0,"18.87","-10.93","2001",4.4,4.5,"Utilities"
"7","AFL",-0.0166,0,"8.17","-2.2","2001",4.4,4.5,"Finance"
"8","A",-0.031,0,"17","-8.07","2001",4.4,4.5,"Industrials"
"9","APD",0.0039,0,"7.8","-0.09","2001",4.4,4.5,"Industrials"
"10","AKAM",-0.0463,0,"30.23","-13.65","2001",4.4,4.5,"Consumer Discretionary"
"11","ALL",-0.0173,0,"8.65","-0.79","2001",4.4,4.5,"Finance"
"12","MO",0.0058,0,"5.19","1.13","2001",4.4,4.5,"Consumer Discretionary"
"13","AEE",-0.0123,0,"5.52","-0.9","2001",4.4,4.5,"Utilities"
"14","AEP",-0.001,0,"5.81","0.16","2001",4.4,4.5,"Utilities"
"15","AXP",-0.0393,0,"7.35","-5.23","2001",4.4,4.5,"Finance"
"16","AIG",-0.0241,0,"4.59","-2.19","2001",4.4,4.5,"Finance"
"17","AMT",-0.025,0,"21.19","-7.57","2001",4.4,4.5,"Finance"
"18","ABC",0.0329,1,"7.55","3.78","2001",4.4,4.5,"Health Care"
"19","AMGN",0.0115,0,"8.55","-0.38","2001",4.4,4.5,"Health Care"
"20","APH",0.0672,1,"20.31","0.68","2001",4.4,4.5,"Technology"
"21","ADI",0.0543,1,"23.03","-1.23","2001",4.4,4.5,"Technology"
"22","AON",0.0183,0,"5.25","2.54","2001",4.4,4.5,"Finance"
"23","APA",-0.0457,0,"8.77","-4.75","2001",4.4,4.5,"Energy"
"24","AAPL",0.0612,1,"21.87","2.44","2001",4.4,4.5,"Technology"
"25","AMAT",0.0333,1,"18.1","-1.71","2001",4.4,4.5,"Technology"
"26","T",-0.008,0,"8.58","-0.26","2001",4.4,4.5,"Consumer Discretionary"
"27","ADSK",0.0737,1,"19.29","3.48","2001",4.4,4.5,"Technology"
"28","AZO",0.0712,1,"9.81","7.13","2001",4.4,4.5,"Consumer Discretionary"
"29","AVY",-8e-04,0,"5.67","-1.08","2001",4.4,4.5,"Miscellaneous"
